global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58
4985.145589868226	n/a	24851676.552182622	n/a	3867.463508724059	n/a	14957273.99131221	n/a	3562.438040493142	n/a	n/a	12690964.79235262	3505.7687808677088	6213.044506800404	n/a	n/a	n/a	n/a	-0.067102202	0.0415720809	-0.063070026	0.0239387223	-0.0214647423	0.031408405	-0.1028460754	0.0729367475	-0.0745506815	0.0669768791	-0.0182639503	-0.0537135531	0.0358299874	-0.0035840882	0.0716617368	-0.0354728677	0.0688278904	-0.0802345972	0.0117254428	-0.0007259723	0.0248763963	0.1114683236	-0.066774919	0.0012953686	-0.1207884956	0.1859974934	-0.0288674889	0.1031710859	-0.0150041555	-0.0747987544	0.0060472138	-0.0090118078	-0.0051622037	0.010238624	-0.1021834799	0.0574091128	-0.0815122917	0.1485565171	-0.1330353941	0.0613888355	-0.0519431138	0.0627662222	-0.1038737926	0.0568566932	-0.0076676971	-0.0848772778	0.0342612341	-0.011939991	0.1033726443	-0.0923008825	0.0724220146	-0.0282107994	0.0964812297	-0.0712955482	0.0707431171	-0.0979093433	0.1517686409	0.0407744682	-0.1136510333	0.006047672	-0.0391500347	0.1662851457	-0.1502957008	0.1855611962	-0.1015419405	0.0560785979	-0.0290733158	0.0955612383	0.0955538639	0.0955415737	0.0955243683	0.0955022485	0.0544118443778387	n/a	0.0029606488085981	n/a	-0.4932835810767102	n/a	n/a	0.2433286913598633	0.456549297403555	n/a	n/a	0.2084372609596797	-0.0295672326785456	n/a	n/a	0.0008742212482672	0.0015201611215791	n/a	n/a	2.3108898355606272e-06	0.0133102561875744	n/a	0.0001771629197788	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4942.471851609524	-42.67373825870254	24428028.003952477	1821.0479369722527	3692.634623619056	-174.82888510500288	13635550.46355025	30565.1390670583	3491.4744182346003	-70.96362225854182	5035.835684053011	12190393.61318664	3450.044863033565	6385.157268630773	2.592379	115.29612	0.7741178567816722	0.491093403228645	-0.0956530577	0.0585952311	-0.1164334924	0.1006319672	0.0152605142	-0.0290021289	0.0838022279	0.0116444899	0.0360919183	-0.0911871942	-0.0236969832	0.0301480005	-0.1198052219	0.1007082961	-0.0940096316	-0.0011171404	-0.0416892807	0.0688032926	-0.0223177194	-0.2656397685	-0.01742437	-0.1119750841	0.1750614365	0.0313779502	-0.1524402213	-0.1044759971	0.5058578136	0.1036426713	0.0311712215	0.0513703899	0.0188614074	-0.2323515495	-0.1112228149	-0.0647852563	0.1070277128	0.0851851316	0.0213715118	-0.2885004742	-0.3540400446	-0.1859048117	-0.1216947295	-0.303025929	-0.0952209332	0.064052112	0.0190137715	-0.0558717204	0.0810886432	-0.0242560688	0.1208813076	-0.1569527755	0.0842904583	-0.0369655912	0.082208217	0.0324858902	0.1049752046	-0.0514409208	0.3024245562	7.50806e-05	0.1987649272	0.2842319702	-0.0580820821	0.1968682865	-0.0819828822	0.0508545368	-0.4537969893	-0.3103228521	0.0077010644	0.0955415737	0.0954752155	0.0953646527	0.0952099364	0.0950111383	0.0544817266101773	6.988223233860003e-05	0.0029682585344261	4.8835263966260755e-09	-0.4708622774364386	0.0224213036402716	0.0005027148569292	0.2217112843126296	0.099159262518583	-0.357390034884972	0.1277276370350815	0.0098325593432292	-0.0237692731178358	0.0057979595607098	3.3616335067626176e-05	0.0005649783445502	0.0013675550166771	-0.000152606104902	2.3288623253360253e-08	1.8702067236387031e-06	0.0113760891327044	-0.0019341670548699	0.0001294154039552	3.741002196144488e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4697.854968569786	-244.61688303973733	22069841.30571583	59837.419468076536	3683.4170583246655	-9.217565294390624	13567561.225557132	84.96350995635451	3372.226714284397	-119.24770395020325	14220.014897395316	11371913.01253334	3344.1557682458806	5553.883622329921	4.303513	191.398819	5.755807652109607	3.8465695201012617	-0.1546395964	-0.2927233371	-0.0266202548	-0.0378634019	-0.2083620086	-0.028643214	-0.1279530483	-0.0713987111	0.1438673804	0.0485519472	0.0425738693	-0.1975923477	0.0590527457	0.215268695	-0.1261804478	-0.2243047202	-0.0150148228	0.5147490293	0.1678874224	0.273128629	0.3193385043	0.1121381568	0.0306102676	0.0110144961	0.0945101072	0.2404527925	0.0896394984	0.228682428	0.1123459332	0.4879873301	0.1744888328	0.1302365917	0.3361992693	0.2427475777	0.0637522423	0.0189053473	-0.0273812717	0.238720777	-0.1796658277	0.2604686523	-0.1512097381	-0.1480302527	0.3401498553	0.082211319	-0.2043380661	-0.2113579477	-0.1760804093	0.3073401638	0.1982028176	-0.145033131	0.0624659596	0.2151438177	-0.0335599582	0.1719313956	-0.1030835307	-0.0949826991	-0.6291531034	0.1663206664	0.2428046071	0.0588741102	-0.0544499831	-0.0699098741	0.0162597145	0.2051855696	-0.0956341219	-0.010324221	0.0522770511	0.0955022485	0.0953179834	0.0950111383	0.0945821078	0.0940314435	-0.1749725775266313	-0.2294543041368086	0.030615402886313	0.052649277686907	-0.6490228500024102	-0.1781605725659716	0.0317411896170348	0.4212306598252511	1.88975038395148	1.790591121432897	3.206216564154319	3.571156513644766	-0.0868406948127786	-0.0630714216949428	0.0039780042346213	0.0075413062755661	0.0074673594522325	0.0060998044355554	3.720761415202134e-05	5.576145718884607e-05	0.009395282183724	-0.0019808069489804	8.82713273118016e-05	3.9235961691290455e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4955.1235797789295	257.2686112091433	24553249.69088115	66187.13831348132	3743.213314942162	59.79625661749651	14011645.92116029	3575.5923054654954	3511.671712906634	139.4449986222371	19444.907640755708	12331838.219228614	3443.204171094273	5986.823866092212	4.23035	188.144897	3.5951827290700846	2.3058468796593234	-0.0309703227	-0.1197476903	-0.0792690205	0.0981606036	-0.0469575721	0.0274392582	-0.0838947728	-0.1334279833	-0.0074025468	-0.2264410044	-0.0972526869	-0.2254905964	0.4659090927	-0.1527169555	-0.0611177723	0.0466140654	0.0154624353	0.0364968387	-0.0906338754	0.1894676485	-0.1381966589	-0.0366158253	-0.1025148168	-0.3742924452	0.337051147	0.1639058991	0.1437696742	0.0578014894	0.0311655783	0.0549408569	-0.0803950128	0.2278409151	-0.0437906036	0.0227552304	-0.1022623428	-0.2962271971	0.4464926314	0.1963944831	-0.1462531659	-0.1347829764	-0.0058378382	0.1192804694	-0.2089054295	0.0315344121	-0.0679943224	-0.176271045	0.0126442277	-0.0052325744	0.0949296897	-0.0918188304	0.1495188754	0.0464292536	-0.0296348561	-0.0921615906	0.1518414074	-0.2560588434	0.0462485682	0.0096317202	-0.265186265	-0.4175569096	0.0792680145	0.2286397773	0.1598816992	0.1096387037	0.0078997449	0.2842148008	-0.0110248934	0.0954432708	0.0950822971	0.0944816852	0.0936429488	0.0925682019	-0.2001713756636292	-0.0251987981369978	0.0400685796350697	0.0006349794275491	-0.5256491050339349	0.1233737449684753	0.0152210809475463	0.2763069816229767	0.6314928293203934	-1.2582575546310866	1.583212073786202	0.3987831934830755	-0.0506349377416858	0.0362057570710928	0.0013108568450909	0.0025638969201043	0.0050122135116159	-0.0024551459406166	6.02774158972617e-06	2.5122284286025e-05	0.0042891325687629	-0.005106149614961	1.839665819242263e-05	2.6072763890367384e-05	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4974.661260128348	19.537680349418224	24747254.65302176	381.72095343604303	3735.3221715212608	-7.891143420901244	13952631.725058308	62.27014448923299	3547.6442194946712	35.97250658803705	1294.021230226369	12585779.508113954	3487.685199824001	6278.96797126352	3.313912	147.386322	1.341783984205655	0.8008809945565141	-0.0314595551	0.0036495004	-0.0366015728	0.0176751817	0.0370186586	-0.1308109609	-0.0714807741	-0.0344078517	0.1687513603	0.1832767841	0.076368052	0.0764421861	-0.067926157	-0.0010198633	-0.1656067779	0.1058914379	0.0506352871	-0.0524696977	0.031628878	0.0179985133	0.0634412285	0.087671854	0.027021476	0.0482436838	-0.3121432505	0.0556145674	0.0322879206	-0.1361841387	0.0434144313	-0.0469124726	0.0090881882	-0.0047843134	0.0276269214	0.0006986816	-0.0868192623	0.2553657277	-0.1554846712	-0.0256176554	-0.0679396477	0.0215132671	0.0407407553	-0.1027578948	-0.1420673262	0.0086279359	-0.0036348525	-0.1025384839	0.0216016043	-0.0045534572	0.1059262563	-0.1203227233	0.0846398309	-0.0511338276	0.0817443754	-0.1195723527	-0.0492166459	-0.1019996393	0.173111092	-0.1319654465	0.1146040659	0.178503244	0.0092742912	0.0482259853	-0.1015742191	-0.1091699475	0.1215905113	-0.0351825733	0.0171804023	0.0953646527	0.0947683504	0.0937772737	0.092395551	0.0906289382	-0.1088620318613777	0.0913093438022514	0.0118509419809876	0.0083373962655977	-0.5974291591574712	-0.0717800541235362	0.0051523761699777	0.356921600211603	0.3113727941979363	-0.3201200351224571	0.1024768368868031	0.0969530169666303	-0.0370627608388652	0.0135721769028206	0.0001842039858814	0.0013736482409989	0.0032236326516337	-0.0017885808599822	3.199021492694668e-06	1.0391807472678918e-05	0.0060998658291083	0.0018107332603453	3.7208363133123086e-05	3.278754940121081e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5017.350695041558	42.68943491320988	25173807.997034	1822.3878532091824	3863.215981592704	127.89381007144311	14924437.720433278	16356.826654590364	3577.967050839465	30.32283134479394	919.474100764818	12801848.21689286	3519.5433759932475	6082.020202633584	2.691276	119.69458	1.5133336370625317	0.7560589877605607	0.0151076598	-0.063992635	-0.2083910535	0.104010123	-0.0862238236	0.1011870925	-0.0323291263	-0.1230127642	-0.0528868209	0.1739046459	-0.1029050883	-0.0062214924	0.0187969357	0.0007359862	0.3003380886	-0.1903181583	-0.1972293288	-0.1240439362	-0.0083274466	0.0431820026	0.0979791795	0.1250667746	-0.125754584	-0.0160944004	-0.1510166259	0.2334351895	-0.0836973519	-0.015951513	-0.1026733258	-0.1170077552	-0.0543396806	0.0212065475	0.1163927999	-0.0602981569	-0.2186287639	0.126456338	-0.0940610894	0.1620361611	-0.0206969444	0.0916078208	0.1087648426	-0.0043409965	-0.219428795	0.0571611684	-0.0123772643	-0.1239585684	0.0542361651	0.0179835157	0.1031304429	-0.1428911735	0.0941248156	-0.0969994554	0.0359970224	-0.0861258977	0.0207176732	-0.1006308551	0.1327517045	0.0040886159	-7.27821e-05	-0.0506904779	-0.0505140277	0.0033183981	0.138674147	-0.0306896026	0.21482379	0.3453963807	-0.0485823203	0.0952664105	0.0943764019	0.0928992083	0.0908440203	0.0882236248	0.2061377206862289	0.3149997525476066	0.0424927598897137	0.0992248441050533	-0.7850253647867333	-0.1875962056292621	0.0351923363664964	0.6162648233585437	-0.2882234001649664	-0.5995961943629027	0.3595155962944757	0.0830727284026543	-0.0397828177874062	-0.002720056948541	7.398709803306183e-06	0.0015826725911059	0.0061949650932957	0.002971332441662	8.828816478873066e-06	3.83775925071522e-05	0.0086313061293605	0.0025314403002522	7.449944549873613e-05	6.408189993740949e-06	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4859.635596410744	-157.71509863081337	23616058.12990241	24874.05233612719	3671.369567304204	-191.8464142885	13478954.499727458	36805.04667535477	3522.88428528772	-55.08276555174507	3034.111060828513	12410713.68752717	3466.8750557831936	5971.057482061517	2.811712	125.050957	0.9488533990853836	0.6162275457350771	-0.0301413138	-0.0865800218	-0.1389520379	0.1031106643	-0.0666836487	-0.031551921	0.043179282	-0.1791855712	0.1787794874	0.0313859812	-0.0042897436	0.0784557587	-0.0190598569	0.1043555481	-0.0550295647	0.0494142352	0.0465070428	0.02273795	-0.0446994423	-0.1264359327	-0.0711310867	0.0298571542	0.074510896	-0.193460053	-0.2998653252	0.0426464544	-0.1662834972	0.1300346572	-0.1707978745	0.024070051	-0.0270814041	-0.1083060323	-0.1212777775	-0.0041149582	-0.0377567581	0.1831238708	0.0543654722	-0.1201245036	-0.0658721978	0.4020538285	0.0570988611	-0.0384297779	-0.0994980084	0.0583483886	-0.0550670005	-0.1267756787	0.0292448059	0.0650763221	0.1396676806	-0.1168920523	0.092388068	-0.0263429247	0.0335525899	8.81687e-05	0.0166096159	-0.1101099767	0.0767556663	-0.1405320768	0.168470096	0.3052735289	0.10378987	-0.1399872807	0.0284512802	-0.330965846	0.3569119975	-0.0375475984	0.0720960411	0.0951485642	0.0939067741	0.091849115	0.0889934638	0.0853646308	0.2289215588682651	0.0227838381820361	0.0524050801146765	0.0005191032823052	-0.7596972966289712	0.0253280681577621	0.0006415110366042	0.5771399825053671	0.1827259557926339	0.4709493559576003	0.2217932958768785	0.0333887749203316	-0.0468035386277304	-0.0070207208403242	4.929052111776255e-05	0.0021905712280774	0.0048553667335309	-0.0013395983597648	1.7945237654845436e-06	2.357458611707852e-05	0.0083957825936898	-0.0002355235356707	7.048916536050462e-05	5.547133585482757e-08	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4926.192390366485	66.55679395574043	24267371.46690466	4429.806821666886	3831.76364918759	160.3940818833862	14682412.663235396	25726.2615032144	3539.7050763664115	16.8207910786914	282.93901251298416	12529512.027654145	3482.943171341764	6062.774012827416	3.198212	142.24054	5.286807827786365	2.9009803522775166	-0.0096149208	0.0212928332	0.0220676272	-0.1398318057	-0.0901528753	-0.1359835155	0.0937780399	-0.0446894608	-0.0873492304	-0.200623886	-0.1035362997	-0.0351034634	0.2627000094	-0.0917882588	0.0046074382	-0.1200085467	0.0085380074	-0.0448204648	-0.0133221513	0.1017301182	0.0585928841	-0.038025987	0.0080012038	0.2206000137	-0.0552681381	-0.022546808	0.0737065881	-0.0314605326	0.1459110105	-0.0366111651	-0.0179429628	0.0702451733	0.0771796424	-0.0170525566	0.0757878169	-0.047522152	-0.1470420597	0.0266766709	-0.1017216891	-0.194530694	-0.1101414442	0.0444241919	-0.0708937982	0.0193554792	0.0327057612	0.0440682934	0.0112944865	-0.0187232259	-0.0173587186	0.0493871718	0.0333186767	0.0316982661	-0.1805509823	-0.2097165679	0.0889280716	0.4139646503	0.0041444813	0.1822789145	0.0472249995	0.0084189778	-0.0667574866	0.0469840581	-0.2403198881	0.0406516122	0.1520793483	0.1862810466	0.0525030074	0.0950111383	0.0933598536	0.0906289382	0.0868499729	0.0820666583	0.0927154784595529	-0.1362060804087121	0.0085961599459838	0.0185520963403045	-0.265131679372601	0.4945656172563702	0.2445951497721744	0.0702948074069357	-0.1511910908423885	-0.3339170466350224	0.1115005940334557	0.0228587459501113	-0.0014171673119595	0.0453863713157709	0.002059922701213	2.0083631900865145e-06	-0.0118492250631709	-0.0167045917967018	0.0002790433870944	0.0001404041345976	-0.0159556359635627	-0.0243514185572525	0.0002545823190017	0.0005929915857505	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5037.537524807748	111.34513444126333	25376784.31384617	12397.738963743004	3775.906605440028	-55.85704374756188	14257470.693005636	3120.009336217041	3533.181510004308	-6.523566362103338	42.55691808076618	12483371.582636325	3476.293714236943	6584.37355313706	3.043299	135.350769	0.9772102798282972	0.3868538077434497	0.1102381853	0.137069937	0.1807996758	-0.2291337338	-0.020062628	0.1769616186	0.241931893	0.1063432961	-0.0531962118	-0.1858767618	0.0850053453	-0.001164658	0.0145100116	-0.0756447702	0.1539298439	-0.0545728089	0.0328508388	-0.0105080155	0.0521908653	0.0445733431	-0.0015455987	-0.0480636852	0.074376261	0.110517618	-0.0150918503	-0.076199308	0.0727285279	0.0743218597	0.1379788995	-0.0152905345	0.049920281	0.0386739544	-0.0082020964	-9.31625e-05	0.0910580143	0.0076703396	-0.0618877251	-0.0364800569	-0.0727443943	-0.140701899	-0.1556484316	0.1012000161	-0.0102004201	-0.0264110041	0.0635186677	0.0432264322	-0.0278251038	-0.1105924359	-0.0090896756	0.1283233157	0.0728811664	-0.0120724375	-0.0417266942	-0.3081391476	0.1225842519	0.3392670453	-0.0809146609	0.3310236885	0.0844997083	0.0851160382	-0.1436619057	0.0041507906	0.0115385766	0.1102557839	0.0186315313	-0.0074060322	-0.0970279643	0.094854161	0.0927360906	0.0892409375	0.0844206031	0.0783466667	-0.0058772001888058	-0.0985926786483587	3.454148205929893e-05	0.0097205162830585	-0.3967992696316145	-0.1316675902590134	0.0173363543246154	0.1574496603801827	0.1141016095730265	0.265292700415415	0.0703802168937031	0.0130191773071553	0.0012560900350822	0.0026732573470417	7.146304843512429e-06	1.5777621762328023e-06	-0.0076551914114955	0.0041940336516754	1.7589918271385692e-05	5.860195554663447e-05	-0.0131897807521696	0.0027658552113931	0.0001739703162903	7.649955050390371e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4748.264394499653	-289.27313030809546	22546014.76007315	83678.94391824437	3684.5247265133694	-91.38187892665884	13575722.46028842	8350.647796166533	3469.8631176406093	-63.31839236369888	4009.21881152332	12039950.055162609	3424.1821454510136	5582.910512277264	3.997703	177.797928	4.110978561491134	2.4082918512560942	-0.0645219424	-0.1714179561	-0.0282069653	-0.0630494215	-0.1346879312	-0.1897823792	0.0744842126	-0.0713421802	0.0807602549	0.1076999665	0.0500891967	-0.1482461965	-0.1778935851	-0.0358243321	0.1426955906	0.0872434769	0.1941090025	0.1343947967	-0.0091848951	-0.2872273327	-0.1001057194	0.0075222199	0.1313640208	-0.2826942921	-0.0066820277	0.1161459071	0.0100226198	-0.3724737158	-0.3260726306	0.1374342488	0.0280276589	-0.2247553516	-0.1637008624	-0.0444180775	-0.0998100113	0.1168936088	0.2548528222	-0.0298359031	-0.0307334743	0.0252189566	0.5246969046	-0.080421373	0.0606882973	0.0152402194	-0.0613144747	-0.1734421009	0.009863911	0.0446983855	0.0101365259	0.0079506503	0.0403898448	0.1074224743	-0.1298733969	-0.081026879	0.0259833783	0.1909351297	-0.0401431261	0.1923896117	-0.2227932229	-0.2329951687	0.1924604756	0.0685886109	0.0712416091	-0.4256354599	0.0605219155	-0.452462129	-0.136509932	0.0946776645	0.0920359983	0.0876876832	0.081713351	0.0742237856	-0.0867677610367394	-0.0808905608479336	0.0075286443553287	0.0065432828342932	-0.9622705673389618	-0.5654712977073473	0.3197577885308313	0.9259646447668474	1.210167130319519	1.0960655207464924	1.2013596257692796	1.4645044833057796	-0.0345529919810879	-0.0358090820161701	0.0012822903548407	0.0011939092548451	-0.0028660504072655	0.00478914100423	2.2935871558397132e-05	8.214244936986739e-06	-0.0064169801287825	0.0067728006233871	4.117763397318947e-05	4.58708282841527e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
