trial_type.audcontrol	trial_type.audaffix	trial_type.audroot	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	non_steady_state_outlier04	non_steady_state_outlier05	non_steady_state_outlier06	non_steady_state_outlier07	non_steady_state_outlier08	non_steady_state_outlier09	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	cosine00	cosine01	cosine02	cosine03	cosine04	intercept
-1.0310568365012344e-14	-2.349592477176884e-10	-5.964636387670524e-06	1.0000000000000318	-1.4224884235556212e-15	7.728991253218172e-16	-7.946555221159649e-16	-1.301699908542898e-15	-2.993881168290593e-15	3.96572721522134e-17	-3.299068266742013e-16	-1.2274018233194638e-15	-6.987398691238001e-16	-0.0039729784739246	0.0306751009922961	0.0013869434387847	-0.0001909684249361	-0.0001060570518873	0.0005979891916788	1.5575612600182637e-15	1.3140046002837385e-15	3.865930974308789e-16	4.288985155332312e-16	-5.228739461773352e-16	-1.3268697710173192e-15	5.081783748667813e-16	-1.0212362358750882e-15	-1.3685533789910584e-15	-7.431110855101264e-16	1
2.006858111147773e-14	5.379243331423783e-10	1.3581998991246926e-05	-1.0270505023957194e-15	1.0000000000000329	-1.2014141108822516e-15	-1.0676136797291877e-15	-1.500540028128889e-15	-1.5092157434909437e-15	-1.0541615690681532e-15	-6.599571223316217e-16	-1.1780868389919637e-15	-1.0976565645982272e-15	0.0197735992287426	0.0362732864064259	-0.0018860052224661	-0.0009870179611266	-0.0001013082752783	-0.0003880502747899	1.332203380855657e-15	1.1962042224221878e-15	6.617006900391912e-16	4.612443342259523e-16	2.2911772070121186e-17	-1.0943305937097224e-15	3.5822764209881264e-16	-9.951633891844748e-16	-1.4027467032657701e-15	-4.715288992534397e-16	1
-4.834198622173178e-14	-1.175704499718638e-09	-2.9485424443000948e-05	-1.4001984298183112e-15	-1.0289679008622686e-15	1.0000000000000326	-6.805432025523271e-16	-1.213947472604378e-15	-1.0100032445795774e-15	-1.1062049095221144e-15	-1.7013879240525278e-15	-9.361601657039532e-16	-7.662285863365945e-16	0.0250473246920121	0.0611378814558626	0.0059186552506137	-0.0011909982025868	-0.0001060525726816	8.793654682927895e-05	1.4133901037620053e-15	1.335525167396169e-15	2.407727914893356e-16	6.600395406116008e-16	-2.5876659984128827e-16	-1.0259377588956313e-15	3.7220252269732143e-16	-7.59594900920171e-16	-1.0298062359528098e-15	-4.137156679526209e-16	1
9.554863906962344e-14	2.3990220367938656e-09	5.935055063023423e-05	-1.1289999507377536e-15	-9.166926227482666e-16	-1.4079373043896156e-15	1.0000000000000329	-7.158809070444302e-16	1.3880195781721534e-16	-1.7114208677614336e-15	-1.6713306960137986e-15	-6.839083031075414e-16	-1.1738506294971396e-15	0.022900824969697	0.0353161219651511	0.0055977062512613	-0.0012309406892168	-0.0001978678678223	0.0005978783940845	1.3340558477336817e-15	1.3137536167024542e-15	4.819906500731797e-16	5.573123754348322e-16	-1.7335746948666191e-16	-7.905163698417252e-16	4.2656244238177325e-16	-9.520166535295468e-16	-1.1923950782166317e-15	-9.715083341427888e-17	1
-1.8049171047436501e-13	-4.349406593836411e-09	-9.778638856187478e-05	-9.992672217257357e-16	-1.1902311313407198e-15	-4.007244778434847e-16	-1.139379119370934e-15	1.0000000000000309	-1.3689392321499977e-15	-6.63020446004549e-16	-5.665246702446842e-16	-1.1570540393523645e-15	-9.05000111788049e-16	0.019226731600853	0.0884376527519777	-0.0489803025221004	-0.0004129620860454	-0.0001905816773205	0.0003949604692134	1.372612325312608e-15	1.2678537495136584e-15	2.253618187572513e-16	5.574769879974001e-16	-1.7685261741707652e-16	-8.864846795740587e-16	5.492327528513321e-16	-7.466599060971544e-16	-9.569433427587072e-16	-3.3859502813079944e-16	1
2.6128366867658093e-13	6.015307487218647e-09	0.0001091929361872	-9.314954871800464e-16	-1.2883322128810908e-15	-8.545217596667113e-16	-6.573628480123218e-16	-8.868728001225965e-16	1.0000000000000318	-7.734797437693789e-16	-6.661255973201228e-16	-1.558451552230608e-15	-7.763503018596236e-16	0.0153847728136757	0.0508690117887331	-0.0431520899738907	-0.0004829485548502	-0.0001721443430842	0.0005979585009259	1.5540135878566382e-15	1.3646545515203692e-15	5.427943055552335e-16	5.744628338118338e-16	-1.479447400292817e-16	-8.408377314360611e-16	2.30898922764942e-16	-8.163380084270706e-16	-1.1227150822829961e-15	-2.493111381762873e-16	1
-1.2361915530758776e-13	-1.1082155782594582e-09	-0.0003135868917241	-1.177609412734082e-15	-5.614557458729428e-16	-2.0238199760874387e-15	-8.572730203364046e-16	-7.16346563190541e-16	2.1717471631981402e-17	1.0000000000000309	-1.150097288628327e-15	-7.861450609370398e-16	-1.0805774808606269e-15	0.0094952624469618	0.0353149865905339	-0.0288127488739081	-0.0008309009089992	-0.000332248487515	0.0005978622510979	1.4803275095070156e-15	1.2272212833749357e-15	6.395700885551757e-16	5.9522278566598145e-16	-1.2500441857697509e-17	-1.0434358800671687e-15	2.90154958416012e-16	-8.011626856570236e-16	-1.1532361723019526e-15	-2.9883192928612063e-16	1
-1.1955229835737994e-12	-3.6243500994928906e-08	0.0218099962722502	-1.2492542728565026e-15	-2.2853823548988547e-16	-3.590135450829138e-15	-1.6278209082848445e-15	-6.609957049443572e-16	1.3576252994983882e-15	-1.1340273894691022e-15	1.0000000000000322	-2.817180550796376e-16	-1.439721078849169e-15	8.639385627913444e-05	0.0691545148195581	0.0200211972393547	-0.0002491582707279	-0.0011420765477388	0.0005978584943148	1.5114449860545625e-15	1.2100057215213677e-15	5.789397204879414e-16	3.915855119797751e-16	-1.1460255932216504e-16	-7.189468822782668e-16	3.257548168956319e-16	-7.998829438959372e-16	-1.238401492588743e-15	-3.1183852615803053e-16	1
7.110714313405303e-12	1.976054825515541e-07	0.263346320775675	-1.0276610165545297e-15	-1.358873696054794e-15	1.1711036293080141e-17	-4.511022011501761e-16	-1.1374209547118337e-15	-2.122034681415312e-15	-9.526755462051358e-16	-4.14608525603946e-16	1.0000000000000329	-5.75234973361437e-16	-0.0132538888479555	0.1555105838662466	0.1783545458718794	0.0023250060129453	-0.0024100588701204	0.0012453097073887	1.0174968819249264e-15	1.525440574206807e-15	-6.0979025139023654e-18	4.963788862000314e-16	6.075374404402279e-17	-5.346368423387192e-16	4.297613744440671e-16	-1.2566678783214797e-15	-5.139064506718412e-16	-6.826249412756596e-16	1
-2.8904245420579543e-11	-7.817640345113512e-07	0.6745824132379219	-7.91488918845906e-16	-7.163231338645558e-16	-1.2764389676425705e-15	-1.2447011356933609e-15	-8.136130401707261e-16	-7.486595745772743e-16	-8.779091349892528e-16	-1.0090629776207716e-15	-6.864069205720302e-16	1.0000000000000315	-0.0153094295885695	0.0467355752722504	-0.1720901357051092	0.004119237717176	-0.0014049259138086	0.0017399059983158	1.5891064675257817e-15	1.5124900650291573e-15	6.221514196072539e-16	7.253785347230793e-16	8.352181445469835e-17	-9.783625448449813e-16	2.021119333643436e-16	-7.740766508530228e-16	-1.605498411917615e-15	-7.221464127703097e-16	1
