global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28
5827.367466981964	n/a	n/a	33958211.59523979	4534.551884754798	n/a	20562160.79553329	n/a	4080.714487866052	n/a	n/a	16652230.731479894	3938.2276472702993	6750.622534094754	n/a	n/a	n/a	n/a	0.1433687704	-0.0049092745	0.056875173	-0.0454675281	-0.0499664985	0.1705783788	-0.1469693845	0.0131014082	-0.0374293034	0.0838113752	-0.0746587839	0.0656951257	-0.0231809606	0.0814194953	-0.0885314324	-0.0720355277	0.0662833081	-0.0417485222	0.0045348501	-0.0634263166	0.0139706627	-0.0350908461	0.0559527381	-0.1195840514	-0.0143773188	0.034115005	-0.0237206788	0.0136470756	-0.0362418723	0.0474965435	-0.0453577859	0.0239551799	0.0997961672	-0.1018680988	0.0520276642	-0.0206329763	0.1046842782	-0.080768511	0.061999912	-0.0619258309	0.0685925685	-0.042425834	0.0789596025	-0.0362097091	0.0898183888	-0.1229181597	0.0890808552	-0.0758761644	0.0874941903	0.0644433354	-0.0246741201	0.0275043317	-0.0089099476	0.0489485666	-0.0274004926	0.0244383247	-0.0249739587	0.1001863704	-0.003661769	-0.0505466633	0.0100748232	-0.0366413768	0.0411380255	-0.0236627341	0.0342446313	-0.0270938492	0.1033110098	-0.107247878	0.0039731781	0.0955612383	0.0955538639	0.0955415737	0.0955243683	0.0955022485	-0.1082124462106151	n/a	0.0117099335148852	n/a	-0.1613496786761743	n/a	0.0260337188089046	n/a	-0.4410216887906841	n/a	n/a	0.194500129983787	-0.0013208860773876	n/a	n/a	1.744740029436401e-06	0.0016618907579597	n/a	n/a	2.7618808913918662e-06	-0.001340902842682	n/a	1.798020433512669e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5822.581693373054	-4.785773608909949	22.903629035738955	33902457.57600302	4485.943582403686	-48.60830235111189	20123689.82450882	2362.7670574571093	4084.197100393167	3.4826125271151795	12.128590014019576	16680665.954859952	3930.195017262839	6651.469821618752	1.092243	32.063595	0.1186860420884848	0.0531627450440447	0.1311051046	-0.0372922203	0.0618604937	-0.0763689941	0.1172202589	0.0908745805	-0.0139832711	0.0549360022	-0.0704121855	0.0250253069	-0.0848192194	0.0225882779	-0.0733139475	0.0465468894	-0.1106093486	-0.0846131681	0.0319563123	-0.0211843393	0.0078455744	-0.0294519378	-0.0592768194	-0.1292420908	0.0687028547	0.038527273	-0.0223886329	-0.1033456805	0.0681041363	0.0401801174	0.0598027091	-0.0029406323	-0.1185659115	-0.0434978593	0.1127807786	-0.0066385275	-0.0428885561	-0.0841277509	0.006940392	-0.1228473665	0.0216785707	-0.0536163956	0.0452124675	0.0750343891	-0.0718233509	0.0278480757	-0.0035349898	-0.1124774954	0.0955339748	-0.0917372858	0.0817563947	0.0855734861	-0.056014614	-0.0004463129	0.0284232956	-0.0060246728	-0.0217385053	0.0408247818	-0.0397364432	-0.0135674175	-0.085086553	-0.0615831392	0.0075764074	-0.0081047	0.0287199488	0.0110177854	-0.0030688398	-0.0162758907	-0.0735019165	-0.02399829	-0.0188252577	0.0955415737	0.0954752155	0.0953646527	0.0952099364	0.0950111383	-0.096157229202447	0.012055217008168	0.0092462127278919	0.000145328257114	-0.175560731807522	-0.0142110531313476	0.0308215705527926	0.0002019540311019	-0.408166438001885	0.032855250788799	0.0010794675043948	0.1665998411111466	-0.001159960689219	0.0001609253881686	2.58969805572146e-08	1.3455088005334175e-06	0.0022660357665376	0.0006041450085778	3.6499119138959065e-07	5.134918095227648e-06	-0.0009146828162251	0.0004262200264569	8.3664465429748e-07	1.8166351095292064e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5804.555771291584	-18.025922081469616	324.9338668872139	33692867.70203444	4458.755472593455	-27.188109810231254	19880500.364382084	739.1933150531929	4074.446701877288	-9.75039851587917	95.0702712184587	16601115.92643871	3912.530881841437	6446.511638242315	1.167696	34.278564	0.103401548959318	0.0509311592371162	0.1069138955	-0.0768664781	0.0181125303	-0.0346104067	0.0621074725	0.0963841858	0.0293090073	0.0398094672	-0.0820634835	-0.1305750513	-0.0650739448	0.0647956019	-0.0373159464	0.0551873017	-0.0736984622	-0.0907847937	-0.0348982827	0.0470867734	-0.0048510937	0.0184777772	0.0119606829	-0.0846590803	-0.0322000798	-0.0120707004	-0.1217581472	0.001949169	0.1030848285	0.0396504598	0.0183285476	0.0335725158	-0.0620611099	0.0489555477	0.0855580031	-0.0558139502	-0.03451672	-0.0483595768	0.0123838272	-0.0806790247	-0.1317995408	-0.0521123127	0.0617009376	-0.0051797788	-0.0153897324	-0.0093435166	-0.0042405366	-0.1225862616	0.0930706061	-0.0668738945	0.0755965282	0.0708738168	-0.0001432315	0.0626325842	-0.0632867674	0.0518384848	-0.0113770903	-0.0430554613	0.0047358175	-0.0896560128	-0.0152576831	-0.0189676014	-0.0185601856	0.0319233881	-0.0017035944	0.0024160217	0.0258091301	0.0355692549	0.0638966002	0.0396829189	-0.110672087	0.0955022485	0.0953179834	0.0950111383	0.0945821078	0.0940314435	-0.1089709347216683	-0.0128137055192213	0.011874664614114	0.0001641910491333	-0.1535241579741182	0.0220365738334037	0.023569667081662	0.000485610586315	-0.451523810986103	-0.0433573729842179	0.0018798617920925	0.203873751887414	-0.0013806808570566	-0.0002207201678375	4.871739249025829e-08	1.9062796290425475e-06	0.0021290290508797	-0.0001370067156578	1.877084013536465e-08	4.532764699489716e-06	-0.0007685317672711	0.000146151048954	5.906410773048402e-07	2.1360129110354505e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5826.621172201189	22.06540090960516	486.8819173016042	33949514.28434316	4482.38522629833	23.62975370487493	20091777.31693753	558.3652601530505	4084.7123748051113	10.265672927823289	105.38404066104395	16684875.184886012	3929.473215734159	6571.772384524575	1.130172	33.17704	0.1800150854480922	0.0802599670169626	0.1279219417	-0.0631019283	0.0737172045	-0.0722502914	0.023198866	0.113185997	-0.0802316315	-0.0214038579	-0.014817208	-0.1301803108	-0.0867297936	0.0039508356	-0.0472265333	0.0692901839	-0.1097119176	-0.0760864864	0.0564731162	0.0472073417	0.0790792419	0.0563123925	-0.0590370621	0.0895803358	-0.0055345399	-0.0950056266	-0.0527181308	0.0160346481	-0.0153610516	0.0621796483	-0.0806688527	0.0185855423	-0.12216812	0.0317168831	0.1071526848	-0.0221490633	-0.0033479312	0.0271715562	0.1264894512	-0.0332625322	-0.1135126178	-0.0789437347	-0.0082960886	0.0441182622	0.0061524308	-0.0288198699	-0.0140896262	-0.1224235405	0.1048348531	-0.0717270303	0.0743814457	0.0262963061	-0.0025936122	0.0636680685	0.035140908	0.0072767071	-0.1078347349	-0.0040033618	0.0380477399	-0.0148911576	0.0623109012	-0.0776658042	0.0113412795	-0.0248659067	-0.0248535462	-0.0300688697	0.0278844479	-0.0047623523	-0.0337584336	0.0266961646	-0.0010504726	0.0954432708	0.0950822971	0.0944816852	0.0936429488	0.0925682019	-0.1230286976160925	-0.0140577628944242	0.0151360604371119	0.0001976206975958	-0.1062285578686186	0.0472956001054996	0.0112845065068464	0.0022368737893393	-0.4126347674744295	0.0388890435116734	0.0015123577052528	0.1702674513286765	-0.0020896040002648	-0.0007089231432082	5.025720229761942e-07	4.366444877922655e-06	0.0014720683195728	-0.0006569607313068	4.315974024792967e-07	2.166985137489888e-06	-0.0005389620630563	0.0002295697042147	2.904801054139032e-07	5.2702249093270756e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5820.77636542609	-5.8448067750996415	34.16176623825067	33881437.49630296	4490.086899717208	7.701673418878272	20160880.36701209	59.31577345105613	4072.3389161745017	-12.373458630609548	153.10247848340592	16583944.248189315	3921.916033726464	6697.20161596873	1.256807	36.894489	0.3227507493837706	0.1736915435424053	0.1613409186	-0.0260398934	-0.0150927607	-0.073047309	0.0027853847	0.1772308342	-0.017515643	-0.0002413326	-0.045054793	0.0461606115	-0.0594092954	0.1010941242	-0.067232322	0.0835070411	-0.0429386346	-0.0848221713	0.0983562989	-0.0387220888	0.0521791122	-0.0208093558	-0.056101682	0.0145425473	0.0317518786	-0.0512561456	0.0376846125	0.0871828435	0.0027339032	-0.0035324634	-0.0826444199	-0.0883631581	-0.0543115735	0.0353511495	0.1027260467	-0.1218617791	-0.0117281373	-0.0352642089	0.0866907478	-0.0257766413	0.0542704888	-0.0420848714	0.0498870136	0.0128927995	0.0190656671	-0.0706560951	0.1101803503	-0.1604923597	0.0545479448	-0.0861126696	0.0902213908	0.0682298837	-0.0908779264	0.0294387561	-0.0023309721	0.0198711985	0.0076352569	-0.0235850316	-0.0190895483	0.0696060011	-0.0021480954	0.0201299758	0.0116358989	0.0372217132	-0.0240976847	0.0716172762	0.0074010539	0.0088299088	0.0214565306	0.0547994013	-0.0730506698	0.0953646527	0.0947683504	0.0937772737	0.092395551	0.0906289382	-0.1344735009835176	-0.011444803367425	0.0180831224667641	0.000130983524119	-0.1504349091590882	-0.0442063512904696	0.0226306618937031	0.0019542014944164	-0.5313351731553979	-0.1187004056809684	0.0140897863088264	0.2823170662320767	-5.005844132182834e-05	0.0020395455589429	4.159746087003998e-06	2.5058475475709312e-09	0.0017969995111961	0.0003249311916233	1.0558027928973773e-07	3.2292072432390226e-06	6.454496727557941e-05	0.0006035070303318	4.166052800605617e-09	3.642207356600041e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5824.46948342159	3.6931179954999607	13.639120528685648	33924444.76330936	4512.802723819031	22.715824101822363	20365388.424108464	516.0086646249338	4085.313880109477	12.97496393497522	168.3496891139077	16689789.49901515	3941.04733455377	6668.380464469631	1.152432	33.830479	0.146415268879624	0.0768587389543302	0.154780135	-0.0490438114	0.0451977371	-0.0578441445	0.1202924375	0.133906212	0.0168012463	0.0224383295	-0.0750616236	-0.011522781	-0.1004094889	0.0394312051	-0.0861224155	0.0763759315	-0.0651593974	-0.065220428	-0.019449639	0.0221283015	0.0255012999	0.0477595296	-0.0303272299	-0.065299574	-0.0115448504	0.0178208822	-0.1013107408	-0.0549344957	0.0986714314	0.0515969763	-0.0302761825	-0.0040202812	0.0226122992	0.0319679101	0.1406137209	-0.0435077351	-0.0738879004	-0.0489148114	0.0197474018	-0.088182985	-0.0469027837	-0.0157554156	0.0419129217	0.071218653	-0.0507939876	0.0509980099	-0.0410693969	-0.1594011819	0.0779198268	-0.0814167996	0.056741214	0.0449755233	0.0308820068	0.0544682949	-0.0042821567	0.0584659453	-0.043945447	-0.0014681664	-0.0397309497	-0.0496181035	-0.0997756283	-0.0157163706	0.0174046319	-0.0019105816	0.016942586	-0.0053109944	0.0024719047	-0.0100514756	0.0656799906	0.1097972818	-0.064517366	0.0952664105	0.0943764019	0.0928992083	0.0908440203	0.0882236248	-0.1198582756335042	0.0146152253500134	0.014366006237837	0.0002136048120316	-0.0872860257794201	0.063148883379668	0.0076188502963655	0.0039877814720989	-0.524003868152235	0.0073313050031629	5.374803304940173e-05	0.2745800538385048	-0.0008371714081813	-0.0007871129668594	6.195468225983198e-07	7.008559666762608e-07	0.0021419324205445	0.0003449329093483	1.189787119515514e-07	4.58787449417962e-06	0.0001588961940033	9.43512267277206e-05	2.5248000468734354e-08	8.902153985025735e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5787.257713358977	-37.21177006261314	1384.7158311927917	33492351.84083297	4434.912130757604	-77.89059306142644	19668445.607540958	6066.944487460733	4059.7038227337816	-25.610057375695305	655.8750387864055	16481195.12831928	3908.082573062319	6596.946342118642	1.447974	42.506344	0.0596808035862433	0.0334148186418495	0.1639831489	-0.0415663485	-0.0449582011	-0.1523405972	-0.0247230327	0.1636631384	0.0235906052	-0.0113497761	-0.0922074317	-0.1176543774	-0.0280493612	0.10755675	-0.0718437518	0.1083964467	-0.0534114257	-0.0902420217	0.013166447	-0.0388440095	0.1096207185	0.162402426	-0.0276410408	0.0496876247	-0.0145916826	-0.0230860343	0.1320125418	0.0328009638	-0.1505589517	-0.0033925538	-0.0314027179	-0.0062680448	0.0265119444	-0.0925970281	0.0837164232	-0.1442809055	-0.058844975	-0.0039335885	0.0880062311	-0.0246475632	-0.0995540134	0.0569431728	-0.0038569824	0.0593320815	0.0040993824	-0.0938149368	0.0692790662	-0.1658773239	0.0462996654	-0.0651194363	0.0917994776	0.0551224673	-0.0521718874	0.0405919699	0.0448750584	-0.0376874636	-0.0385957522	0.000437177	0.0334179468	0.022807047	0.0347027624	0.0803480662	0.0355495052	-0.069029186	-0.1263263938	0.0216824575	-0.0392171981	-0.0589158981	-0.0912320577	-0.0690316811	0.0078742297	0.0951485642	0.0939067741	0.091849115	0.0889934638	0.0853646308	-0.1225509417247536	-0.0026926660912494	0.0150187333176239	7.250450678964361e-06	-0.1163458946388686	-0.0290598688594485	0.0135363671993187	0.0008444759781283	-0.5348475788645004	-0.0108437107122654	0.0001175860620112	0.2860619326172179	-0.0006291809175505	0.0002079904906308	4.3260044192840906e-08	3.958686270096891e-07	0.0022749525224328	0.0001330201018883	1.769434750637373e-08	5.175408979323359e-06	0.0001582156280568	-6.805659465000051e-07	2.503218496140768e-08	4.631700075354477e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5809.797827437118	22.54011407814141	508.0567426556288	33753750.795693055	4483.531674268769	48.61954351116492	20102056.27417131	2363.860011234059	4075.383997985443	15.68017525166124	245.8678959228096	16608754.731035812	3928.249534116447	6611.416571000144	1.206402	35.414806	0.3697774222607377	0.1818974950080974	0.1679311142	-0.0251786312	-0.0633500488	-0.1045975613	0.0477745439	0.149284008	-0.0443657981	-0.0545519588	-0.0147921344	0.0043834137	-0.0772840342	0.0389584706	-0.1170379483	0.1284370519	-0.003411324	-0.1082679642	0.0824576791	0.0129250082	0.14791372	-0.0219849709	-0.032264638	0.0530352301	-0.1254849256	-0.0258065435	0.0068087359	-0.0524374258	-0.0114388243	0.1209116902	-0.0416296385	-0.0245681634	0.1443037261	-0.07245363	0.1254021903	-0.0758292511	-0.076960756	0.0039938129	0.1003456382	0.002851783	0.0119457881	-0.0976215687	0.0710535121	0.0731723116	0.0246404238	-0.0879513716	-0.1236098048	-0.185824351	0.0124305506	-0.0592148035	0.0953714502	0.1183383576	-0.0084709119	0.1046232923	-0.0183853969	0.0017444157	-0.0346986553	0.0098479206	-0.054892577	0.052777551	0.0561228433	0.0952827188	-0.0497064538	0.0160165241	-0.0054756712	0.2112545502	-0.068092509	-0.1175409486	-0.0370407216	0.0626140888	-0.0179856508	0.0950111383	0.0933598536	0.0906289382	0.0868499729	0.0820666583	-0.1712235171721374	-0.0486725754473838	0.0293174928327972	0.0023690196006812	-0.0844239822904455	0.0319219123484231	0.0071274087857774	0.0010190084879804	-0.6217371320325071	-0.0868895531680067	0.0075497944497358	0.3865570613480072	0.0010281632413938	0.0016573441589443	2.746789661186789e-06	1.0571196509534056e-06	0.0044349806827459	0.002160028160313	4.665721653345593e-06	1.966905365632929e-05	-7.027967862427995e-05	-0.000228495306681	4.939233227532072e-09	5.2210105175280776e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5823.029777334889	13.2319498977713	175.08449809712994	33907675.78772881	4438.506363354871	-45.02531091389847	19700338.73754168	2027.2786228932243	4075.639656381338	0.2556583958953524	0.0653612153917847	16610838.608668191	3905.6598478090814	6589.131229444566	1.416381	41.578903	0.5238995693343398	0.2700595264686156	0.1327088487	-0.063773434	0.0332988431	-0.0168575845	-0.0316626339	0.1052309549	-0.0226513239	-0.0273545887	0.032743282	-0.0649500665	-0.0507265292	0.0817610358	-0.0073589991	0.0729583707	-0.0933687617	-0.0521048502	-0.0216756113	0.0820533718	0.045365728	-0.0673368953	-0.0086287509	0.0491924377	0.0344165586	-0.1038336752	0.0507517993	-0.0188343257	0.0132313214	-0.0280471926	0.0502991981	-0.0786368732	0.0015005977	0.0111034749	0.0553246173	-0.1058080396	0.0280970239	0.0047774856	0.0888693287	-0.012813684	-0.0271179579	-0.1712741581	-0.0270107964	0.0764268515	0.0217131891	-0.0160353915	-0.0286501483	-0.1367240933	0.0740180181	-0.0359697149	0.0439532909	0.039717902	0.0214434551	0.092211785	-0.0323266208	-0.005556091	-0.0218023973	-0.0731313737	0.0617857638	0.0110086184	0.0559566017	-0.0011993544	0.0765190675	-0.0323065435	-0.0259148802	-0.0044598726	-0.0385103126	0.0258992847	0.0653267884	0.0603569893	0.0187314331	0.094854161	0.0927360906	0.0892409375	0.0844206031	0.0783466667	-0.1190364422764389	0.0521870748956985	0.0141696745898319	0.0027234907861692	-0.0418194798355813	0.0426045024548642	0.0017488688937185	0.0018151436294265	-0.4716774231389991	0.150059708893508	0.0225179162332043	0.2224795914990464	-0.0024472154573176	-0.0034753786987114	1.2078257099456943e-05	5.98886349453419e-06	0.0025628095629484	-0.0018721711197974	3.505024701803824e-06	6.567992855939768e-06	0.0001631361646722	0.0002334158432964	2.661340822395516e-08	5.4482955901806896e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5846.377231996066	23.34745466117693	545.1036391557121	34180126.738801986	4532.812223717801	94.30586036293062	20546386.65548552	8893.595298792568	4102.846068144362	27.20641176302388	740.1888410192041	16833345.85888765	3960.257067303991	6720.624536012734	1.341952	39.393997	0.1753814660152825	0.0974211193386009	0.1650187189	-0.0420098134	0.0693240785	-0.0999658805	0.116183967	0.0956032606	-0.0879863584	-0.0142575528	-0.0087114973	0.1014424103	-0.1377105828	-0.039930268	-0.0953386399	0.0679635945	-0.0706511968	-0.0853753977	0.1323724983	0.0259258281	0.0591032077	0.0137254296	-0.1119485415	-0.0044621917	0.026062777	0.0602909461	-0.0548225414	0.0414582422	-0.0094760743	0.1435428024	-0.0085380031	0.0282498384	-0.0161836251	-0.0807727252	0.1598340257	0.0270752281	-0.0245396855	-0.0233906877	0.0796081706	-0.069446532	0.0739018896	-0.1057733863	0.0372470394	0.1540684511	-0.0948191099	-0.009028597	-0.0566167004	-0.141905928	0.0821560459	-0.0892495659	0.063758334	0.0640663223	-0.0325273032	0.0295717029	0.1139777219	-0.0314575837	-0.0425426979	0.0234821183	-0.0564603813	0.0741998686	-0.0205422966	-0.0429692152	0.0359924588	-0.0053872026	0.0417177484	0.0364503977	0.0195915933	-0.0624865947	-0.0698918146	0.0276764435	-0.0098897081	0.0946776645	0.0920359983	0.0876876832	0.081713351	0.0742237856	-0.1364371261821872	-0.0174006839057482	0.018615089400854	0.0003027838003877	-0.1251855280650744	-0.0833660482294931	0.0156714164369315	0.0069498979974021	-0.4564554303106973	0.0152219928283017	0.0002317090656648	0.2083515598601238	-0.0014041104782671	0.0010431049790505	1.088067997319944e-06	1.9715262351794643e-06	0.0024939446148795	-6.886494806889994e-05	4.742381072532286e-09	6.219759742086457e-06	8.725127075681388e-05	-7.588489391538612e-05	7.612784248678845e-09	5.758517124549406e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
